state,stage,schools
Johor,primary,908
Johor,secondary,284
Johor,tertiary,2
Kedah,primary,548
Kedah,secondary,204
Kedah,tertiary,1
Kelantan,primary,418
Kelantan,secondary,178
Kelantan,tertiary,1
Melaka,primary,238
Melaka,secondary,78
Melaka,tertiary,1
Negeri Sembilan,primary,353
Negeri Sembilan,secondary,126
Negeri Sembilan,tertiary,1
Pahang,primary,543
Pahang,secondary,198
Pahang,tertiary,1
Perak,primary,852
Perak,secondary,253
Perak,tertiary,1
Perlis,primary,74
Perlis,secondary,30
Perlis,tertiary,1
Pulau Pinang,primary,270
Pulau Pinang,secondary,128
Pulau Pinang,tertiary,1
Sabah,primary,1075
Sabah,secondary,221
Sabah,tertiary,1
Sarawak,primary,1265
Sarawak,secondary,193
Sarawak,tertiary,1
Selangor,primary,661
Selangor,secondary,279
Selangor,tertiary,4
Terengganu,primary,352
Terengganu,secondary,154
Terengganu,tertiary,2
W.P. Kuala Lumpur,primary,188
W.P. Kuala Lumpur,secondary,104
W.P. Kuala Lumpur,tertiary,2
W.P. Labuan,primary,17
W.P. Labuan,secondary,11
W.P. Putrajaya,primary,16
W.P. Putrajaya,secondary,11
