state,2017,2018,2019,2020,2021,2022
Johor,906,907,907,906,906,908
Kedah,546,547,547,548,548,548
Kelantan,418,418,418,418,418,418
Melaka,237,237,238,238,238,238
Negeri Sembilan,350,350,350,352,352,353
Pahang,541,541,542,543,543,543
Perak,852,852,852,852,852,852
Perlis,74,74,74,74,74,74
Pulau Pinang,271,271,271,271,271,270
Sabah,1074,1074,1074,1075,1075,1075
Sarawak,1264,1265,1265,1265,1265,1265
Selangor,659,661,661,662,663,661
Terengganu,352,352,352,352,352,352
W.P. Kuala Lumpur,201,194,191,191,190,188
W.P. Labuan,17,17,17,17,17,17
W.P. Putrajaya,14,14,14,16,16,16
